Date,    	    ref_temp(K),   mean(v2),   mean(h2),     std(v2),   std(h2),    data_length
2015-Nov-13 13:46:23,    96.6,    2793556,    2903956,       3716,       4979,       1437
2015-Nov-08 19:00:03,    97.3,    2800877,    2891961,       5014,       4413,       1264
2015-Oct-30 18:26:01,    98.1,    2777197,    2856942,       4061,       3449,       1546
