11/1/2015 11:31, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 11:41, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 11:51, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 12:01, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 12:11, 	 5.514,	     98.220,	   5.488,      98.206
11/1/2015 12:21, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 12:31, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 12:41, 	 5.488,	     98.206,	   5.514,      98.220
11/1/2015 12:51, 	 5.488,	     98.206,	   5.514,      98.220
11/1/2015 13:01, 	 5.488,	     98.206,	   5.514,      98.220
11/1/2015 13:11, 	 5.488,	     98.206,	   5.514,      98.220
11/1/2015 13:21, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 13:31, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 13:41, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 13:51, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 14:01, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 14:11, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 14:21, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 14:31, 	 5.514,	     98.220,	   5.488,      98.206
11/1/2015 14:41, 	 5.514,	     98.220,	   5.488,      98.206
11/1/2015 14:51, 	 5.514,	     98.220,	   5.488,      98.206
11/1/2015 15:01, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 15:11, 	 5.514,	     98.220,	   5.488,      98.206
11/1/2015 15:21, 	 5.514,	     98.220,	   5.488,      98.206
11/1/2015 15:31, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 15:41, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 15:51, 	 5.514,	     98.220,	   5.488,      98.206
11/1/2015 16:01, 	 5.514,	     98.220,	   5.488,      98.206
11/1/2015 16:11, 	 5.514,	     98.220,	   5.488,      98.206
11/1/2015 16:21, 	 5.539,	     98.233,	   5.488,      98.206
11/1/2015 16:31, 	 5.514,	     98.220,	   5.514,      98.220
11/1/2015 16:41, 	 5.539,	     98.233,	   5.514,      98.220
11/1/2015 16:51, 	 5.539,	     98.233,	   5.514,      98.220
11/1/2015 17:01, 	 5.539,	     98.233,	   5.514,      98.220
11/1/2015 17:11, 	 5.565,	     98.247,	   5.539,      98.233
11/1/2015 17:21, 	 5.565,	     98.247,	   5.539,      98.233
11/1/2015 17:31, 	 5.591,	     98.260,	   5.539,      98.233
11/1/2015 17:41, 	 5.591,	     98.260,	   5.565,      98.247
11/1/2015 17:51, 	 5.616,	     98.273,	   5.565,      98.247
11/1/2015 18:01, 	 5.616,	     98.273,	   5.591,      98.260
11/1/2015 18:11, 	 5.591,	     98.260,	   5.565,      98.247
11/1/2015 18:21, 	 5.591,	     98.260,	   5.565,      98.247
11/1/2015 18:31, 	 5.591,	     98.260,	   5.565,      98.247
11/1/2015 18:41, 	 5.616,	     98.273,	   5.591,      98.260
11/1/2015 18:51, 	 5.616,	     98.273,	   5.591,      98.260
11/1/2015 19:01, 	 5.616,	     98.273,	   5.591,      98.260
11/1/2015 19:11, 	 5.616,	     98.273,	   5.591,      98.260
11/1/2015 19:21, 	 5.616,	     98.273,	   5.591,      98.260
11/1/2015 19:31, 	 5.642,	     98.287,	   5.616,      98.273
11/1/2015 19:41, 	 5.642,	     98.287,	   5.616,      98.273
11/1/2015 19:51, 	 5.642,	     98.287,	   5.616,      98.273
11/1/2015 20:01, 	 5.642,	     98.287,	   5.616,      98.273
11/1/2015 20:11, 	 5.642,	     98.287,	   5.616,      98.273
11/1/2015 20:21, 	 5.642,	     98.287,	   5.642,      98.287
11/1/2015 20:31, 	 5.642,	     98.287,	   5.642,      98.287
11/1/2015 20:41, 	 5.642,	     98.287,	   5.642,      98.287
11/1/2015 20:51, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 21:01, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 21:11, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 21:21, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 21:31, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 21:41, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 21:51, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 22:01, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 22:11, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 22:21, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 22:31, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 22:41, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 22:51, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 23:01, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 23:11, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 23:21, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 23:31, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 23:41, 	 5.668,	     98.301,	   5.642,      98.287
11/1/2015 23:51, 	 5.668,	     98.301,	   5.642,      98.287
11/2/2015 0:01, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 0:11, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 0:21, 	5.642,	    98.287,	  5.642,      98.287
11/2/2015 0:31, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 0:41, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 0:51, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 1:01, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 1:11, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 1:21, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 1:31, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 1:41, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 1:51, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 2:01, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 2:11, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 2:21, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 2:31, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 2:41, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 2:51, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 3:01, 	5.668,	    98.301,	  5.642,      98.287
