10/31/2015 19:40, 	  5.205,      98.056,	    5.128,	98.016
10/31/2015 19:50, 	  5.205,      98.056,	    5.154,	98.030
10/31/2015 20:00, 	  5.205,      98.056,	    5.154,	98.030
10/31/2015 20:10, 	  5.205,      98.056,	    5.154,	98.030
10/31/2015 20:20, 	  5.205,      98.056,	    5.154,	98.030
10/31/2015 20:30, 	  5.231,      98.070,	    5.154,	98.030
10/31/2015 20:40, 	  5.205,      98.056,	    5.179,	98.043
10/31/2015 20:50, 	  5.231,      98.070,	    5.179,	98.043
10/31/2015 21:00, 	  5.231,      98.070,	    5.179,	98.043
10/31/2015 21:10, 	  5.231,      98.070,	    5.205,	98.056
10/31/2015 21:20, 	  5.231,      98.070,	    5.179,	98.043
10/31/2015 21:30, 	  5.257,      98.084,	    5.205,	98.056
10/31/2015 21:40, 	  5.257,      98.084,	    5.205,	98.056
10/31/2015 21:50, 	  5.231,      98.070,	    5.205,	98.056
10/31/2015 22:00, 	  5.257,      98.084,	    5.205,	98.056
10/31/2015 22:10, 	  5.257,      98.084,	    5.205,	98.056
10/31/2015 22:20, 	  5.257,      98.084,	    5.205,	98.056
10/31/2015 22:30, 	  5.257,      98.084,	    5.205,	98.056
10/31/2015 22:40, 	  5.231,      98.070,	    5.205,	98.056
10/31/2015 22:50, 	  5.231,      98.070,	    5.179,	98.043
10/31/2015 23:00, 	  5.179,      98.043,	    5.154,	98.030
10/31/2015 23:10, 	  5.154,      98.030,	    5.128,	98.016
10/31/2015 23:20, 	  5.128,      98.016,	    5.102,	98.002
10/31/2015 23:30, 	  5.102,      98.002,	    5.076,	97.988
10/31/2015 23:40, 	  5.102,      98.002,	    5.076,	97.988
10/31/2015 23:50, 	  5.102,      98.002,	    5.076,	97.988
11/1/2015 0:00, 	5.128,	    98.016,	  5.076,      97.988
11/1/2015 0:10, 	5.231,	    98.070,	  5.179,      98.043
11/1/2015 0:20, 	5.282,	    98.097,	  5.231,      98.070
11/1/2015 0:30, 	5.282,	    98.097,	  5.257,      98.084
11/1/2015 0:40, 	5.360,	    98.138,	  5.308,      98.111
11/1/2015 0:50, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 1:00, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 1:10, 	5.308,	    98.111,	  5.282,      98.097
11/1/2015 1:20, 	5.282,	    98.097,	  5.231,      98.070
11/1/2015 1:30, 	5.282,	    98.097,	  5.231,      98.070
11/1/2015 1:40, 	5.282,	    98.097,	  5.231,      98.070
11/1/2015 1:50, 	5.282,	    98.097,	  5.231,      98.070
11/1/2015 2:00, 	5.282,	    98.097,	  5.257,      98.084
11/1/2015 2:10, 	5.282,	    98.097,	  5.257,      98.084
11/1/2015 2:20, 	5.282,	    98.097,	  5.257,      98.084
11/1/2015 2:30, 	5.308,	    98.111,	  5.257,      98.084
11/1/2015 2:40, 	5.334,	    98.125,	  5.282,      98.097
11/1/2015 2:50, 	5.334,	    98.125,	  5.282,      98.097
11/1/2015 3:00, 	5.385,	    98.151,	  5.334,      98.125
11/1/2015 3:10, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 3:20, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 3:30, 	5.437,	    98.179,	  5.385,      98.151
11/1/2015 3:40, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 3:50, 	5.437,	    98.179,	  5.385,      98.151
11/1/2015 4:00, 	5.437,	    98.179,	  5.385,      98.151
11/1/2015 4:10, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 4:20, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 4:30, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 4:40, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 4:50, 	5.437,	    98.179,	  5.385,      98.151
11/1/2015 5:00, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 5:10, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 5:20, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 5:30, 	5.385,	    98.151,	  5.334,      98.125
11/1/2015 5:40, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 5:50, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 6:00, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 6:10, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 6:20, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 6:30, 	5.437,	    98.179,	  5.385,      98.151
11/1/2015 6:40, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 6:50, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 7:00, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 7:10, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 7:20, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 7:30, 	5.411,	    98.165,	  5.360,      98.138
11/1/2015 7:40, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 7:50, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 8:00, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 8:10, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 8:20, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 8:30, 	5.385,	    98.151,	  5.385,      98.151
11/1/2015 8:40, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 8:50, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 9:00, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 9:10, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 9:20, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 9:30, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 9:40, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 9:50, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 10:00, 	 5.385,	     98.151,	   5.360,      98.138
11/1/2015 10:10, 	 5.385,	     98.151,	   5.360,      98.138
11/1/2015 10:20, 	 5.385,	     98.151,	   5.360,      98.138
11/1/2015 10:30, 	 5.385,	     98.151,	   5.334,      98.125
11/1/2015 10:40, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 10:50, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 11:00, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 11:10, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 11:20, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 11:30, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 11:40, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 11:50, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 12:00, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 12:10, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 12:20, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 12:30, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 12:40, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 12:50, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 13:00, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 13:10, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 13:20, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 13:30, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 13:40, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 13:50, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 14:00, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 14:10, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 14:20, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 14:30, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 14:40, 	 5.360,	     98.138,	   5.308,      98.111
11/1/2015 14:50, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 15:00, 	 5.334,	     98.125,	   5.334,      98.125
11/1/2015 15:10, 	 5.360,	     98.138,	   5.334,      98.125
11/1/2015 15:20, 	 5.385,	     98.151,	   5.334,      98.125
11/1/2015 15:30, 	 5.385,	     98.151,	   5.360,      98.138
11/1/2015 15:40, 	 5.411,	     98.165,	   5.360,      98.138
11/1/2015 15:50, 	 5.411,	     98.165,	   5.385,      98.151
11/1/2015 16:00, 	 5.411,	     98.165,	   5.385,      98.151
11/1/2015 16:10, 	 5.385,	     98.151,	   5.360,      98.138
11/1/2015 16:20, 	 5.411,	     98.165,	   5.360,      98.138
11/1/2015 16:30, 	 5.385,	     98.151,	   5.360,      98.138
11/1/2015 16:40, 	 5.385,	     98.151,	   5.360,      98.138
11/1/2015 16:50, 	 5.411,	     98.165,	   5.360,      98.138
11/1/2015 17:00, 	 5.411,	     98.165,	   5.360,      98.138
11/1/2015 17:10, 	 5.437,	     98.179,	   5.385,      98.151
11/1/2015 17:20, 	 5.437,	     98.179,	   5.411,      98.165
11/1/2015 17:30, 	 5.437,	     98.179,	   5.411,      98.165
11/1/2015 17:40, 	 5.437,	     98.179,	   5.385,      98.151
11/1/2015 17:50, 	 5.437,	     98.179,	   5.385,      98.151
11/1/2015 18:00, 	 5.437,	     98.179,	   5.385,      98.151
11/1/2015 18:10, 	 5.437,	     98.179,	   5.385,      98.151
11/1/2015 18:20, 	 5.437,	     98.179,	   5.385,      98.151
11/1/2015 18:30, 	 5.437,	     98.179,	   5.411,      98.165
11/1/2015 18:40, 	 5.437,	     98.179,	   5.411,      98.165
11/1/2015 18:50, 	 5.437,	     98.179,	   5.411,      98.165
11/1/2015 19:00, 	 5.462,	     98.192,	   5.411,      98.165
11/1/2015 19:10, 	 5.462,	     98.192,	   5.437,      98.179
11/1/2015 19:20, 	 5.488,	     98.206,	   5.437,      98.179
